Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Thornbury,7/67 Pender St,2,u,438000,SP,Love,22/08/2016,6.5,3071,2,1,1,0,66,1970,Darebin City Council,-37.7541,145.0088,Northern Metropolitan,8870
Coburg,32 Rose St,2,h,901000,S,Peter,27/06/2016,7.8,3058,2,1,1,545,107,1940,Darebin City Council,-37.7445,144.9471,Northern Metropolitan,11204
Bentleigh East,2/25 Brooks St,3,u,800000,S,Woodards,28/05/2016,13.9,3165,3,2,2,261,,,Glen Eira City Council,-37.9163,145.0779,Southern Metropolitan,10969
Templestowe Lower,2/35 John St,3,t,1155000,S,Jellis,25/11/2017,12.4,3107,,,,,,,Manningham City Council,,,Eastern Metropolitan,5420
South Yarra,1/35 Marne St,3,u,1630000,PI,Jellis,10/9/2016,3.3,3141,3,1,1,0,,,Melbourne City Council,-37.8359,144.9839,Southern Metropolitan,14887
Burwood East,14 Kalista Ct,4,h,,PN,Woodards,9/12/2017,14.7,3151,4,2,2,570,,,Whitehorse City Council,-37.85794,145.15478,Eastern Metropolitan,4048
Prahran,7 Trinian St,3,h,2400000,VB,Marshall,6/1/2018,4.6,3181,3,2,,,,,Stonnington City Council,-37.85231,145.00146,Southern Metropolitan,7717
Fairfield,250 Arthur St,3,h,1145000,S,McGrath,28/08/2016,5.8,3078,3,1,3,590,,,Darebin City Council,-37.7673,145.021,Northern Metropolitan,2970
Hoppers Crossing,23 Cleveland Dr,3,h,530000,S,hockingstuart,3/6/2017,18.4,3029,3,2,2,530,,,Wyndham City Council,-37.86515,144.66671,Western Metropolitan,13830
Dandenong,1/54 Jones Rd,2,u,433000,S,Stockdale,28/10/2017,24.7,3175,,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan,10894
Malvern East,21 Cairnes Cr,3,h,,S,hockingstuart,19/11/2016,11.2,3145,,,,,,,Stonnington City Council,,,Southern Metropolitan,8801
Tarneit,125 Isabella Wy,3,h,461000,S,Greg,11/11/2017,18.4,3029,3,2,2,301,,,Wyndham City Council,-37.8386,144.6623,Western Metropolitan,10160
Hawthorn East,14 Harts Pde,4,h,2735000,S,hockingstuart,18/11/2017,6.2,3123,4,1,2,668,,,Boroondara City Council,-37.8321,145.0447,Southern Metropolitan,6482
Preston,9 Willow St,4,h,,S,Jellis,8/4/2017,8.8,3072,4,2,2,604,256,1940,Darebin City Council,-37.7457,144.9825,Northern Metropolitan,14577
